Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,
Sure on This Shining Night,1938 (Neo-Romantic),Barber,Vocal All,A,Bb,G5,D4,2:28,English,Classical,Shanaya,
Tell Me No More,1700 (Baroque),Blow,Vocal All,A,Eb,D5,Bb3,N/A,English,Classical,Shanaya,
Per la gloria d'adorarvi (High),1722 (Baroque),Bononcini,Vocal All,A,G,G5,E4,3:00,Italian,Classical,Shanaya,
Per la gloria d'adorarvi (Low),1723 (Baroque),Bononcini,Vocal All,A,D,D5,Bb3,3:00,Italian,Classical,Shanaya,
Wie Melodien zieht es mir,1886 (Romantic),Brahms,Vocal All,A,C,N/A,N/A,N/A,German,Classical,Shanaya,
Wade in de Water (High),1860s (Civil War Era),H.T. Burleigh,Vocal All,A,Fm,N/A,N/A,1:49,English,Spiritual,Shanaya,
Wade in de Water (Low),1860s (Civil War Era),H.T. Burleigh,Vocal All,A,Dm,F5,A3,1:49,English,Spiritual,Shanaya,
"Amarilli, mia bella (High)",1602 (Baroque),Caccini,Vocal All,A,Gm,E5,D4,2:48,Italian,Classical,Shanaya,
"Amarilli, mia bella (Medium)",1602 (Baroque),Caccini,Vocal All,A,Fm,D5,C4,2:48,Italian,Classical,Shanaya,
"Amarilli, mia bella (Low)",1602 (Baroque),Caccini,Vocal All,A,Em,C#5,B3,2:48,Italian,Classical,Shanaya,
Alma del core (High),1710 (Baroque),Caldara,Vocal All,A,A,,,2:48,Italian,Classical,,
Alma del core (Medium),1710 (Baroque),Caldara,Vocal All,A,G,,,2:48,Italian,Classical,,
Alma del core (Medium),1710 (Baroque),Caldara,Vocal All,A,E,,,2:48,Italian,Classical,,
Alma del core (Low),1710 (Baroque),Caldara,Vocal All,A,D,,,2:48,Italian,Classical,,
"Danza, Danza (Medium)",1772 (Baroque),Durante,Vocal All,A,Bbm,,,,Italian,Classical,,
"Danza, Danza (High)",1772 (Baroque),Durante,Vocal All,A,Bm,,,,Italian,Classical,,
"Danza, Danza (Low)",1772 (Baroque),Durante,Vocal All,A,Gm,,,,Italian,Classical,,
Apres un Reve (High),1878 (Romantic),Faure,Vocal All,A,Dm,,,2:40,French,Classical,,
Apres un Reve (Low),1878 (Romantic),Faure,Vocal All,A,Bm,,,2:40,French,Classical,,
Aurore,1884 (Romantic),Faure,Vocal All,A,E,,,,French,Classical,,
O del mio dolce ardor (High),1769 (Classical),Gluck,Vocal All,A,Fm,,,3:20,Italian,Aria,Jack,
O del mio dolce ardor (Low),1769 (Classical),Gluck,Vocal All,A,Dm,,,3:20,Italian,Aria,Jack,
Come and Trip It (Vocal All),1740 (Baroque),Handel,Vocal All,A,Gm,E5,B3,2:28,English,Classical,Jack,
Ride On King Jesus (High),1800s (Romantic),Johnson,Vocal All,A,Eb,,,2:15,English,Spiritual,Jack,
Ride On King Jesus (Low),1800s (Romantic),Johnson,Vocal All,A,Db,,,2:15,English,Spiritual,Jack,
"Blow, Blow Thou Winter Wind (Vocal All)",1740 (Baroque),Arne,Vocal All,A,Eb,,,2:10,English,Classical,Jack,
Gia il sole dal Gange (High),1700 (Baroque),Scarlatti,Vocal All,A,Ab,,,2:15,Italian,Aria,Jack,
Gia il sole dal Gange (Low),1700 (Baroque),Scarlatti,Vocal All,A,Eb,,,2:15,Italian,Aria,Jack,
"Pieta, Signore! (High)",1650 (Baroque),Stradella,Vocal All,A,Dm,,,5:00,Italian,Aria,Jack,
"Pieta, Signore! (Low)",1650 (Baroque),Stradella,Vocal All,A,Am,,,5:00,Italian,Aria,Jack,
Zueignung,1883 (Romantic),Richard Strauss,Vocal All,A,C,F5,E4,,German,Classical,Sam,
Zueignung,1883 (Romantic),Richard Strauss,Vocal All,A,Ab,N/A,N/A,,German,Classical,Sam,
Tu lo sai (High),1709 (Baroque),Torelli,Vocal All,A,E,N/A,N/A,2:28,Italian,Classical,Sam,
Tu lo sai (Low),1709 (Baroque),Torelli,Vocal All,A,C,D5,C4,2:30,Italian,Classical,Sam,
Silent Noon (High),1903 (English Romantic),Vaughan Williams,Vocal All,A,Eb,N/A,N/A,3:34,English,Classical,Sam,
Silent Noon (Low),1903 (English Romantic),Vaughan Williams,Vocal All,A,Db,,,,English,Classical,Sam,
Star Vicino (High),1665 (Baroque),Anonymous,Vocal All,B,G,E5(G5),G4,,Italian,Classical,Sam,
Star Vicino (Low),1665 (Baroque),Anonymous,Vocal All,B,Eb,Bb4(Eb5,Bb3,,Italian,Classical,Sam,
Whither Runneth My Sweetheart?,1606 (Renaissance),Bartlet,Vocal All,B,Eb,,,,English,Classical/Madrigal,Sam,
"Deep River (High, Vocal All)",1700s (Romantic),Burleigh,Vocal All,B,F,,,,English,Spiritual,Sam,
"Deep River (Low, Vocal All)",1700s (Romantic),Burleigh,Vocal All,B,C,E5,G3,2:20,English,Spiritual,Emma,
"My Lord, What a Mornin' (High)",1700s (Romantic),Burleigh,Vocal All,B,F,F5,F4,2:53,English,Spiritual,Emma,
"My Lord, What a Mornin' (Low)",1700s (Romantic),Burleigh,Vocal All,B,Db,,,,English,Spiritual,Emma,
Were You There? (High),1800s (Romantic),H.T. Burleigh,Vocal All,B,Ab,,,,English,Spiritual,Emma,
